FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
11,7828,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39534779,"380 Market St, Brighton, MA",Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,17221.65601,536.818225,188,PARK_Cemetery Maintenance Request,7828,536.8182251,10,7828,0,8290,7974,17223,790,8764,48.13331011,46.29855426,50.88544388,4.586889624,10,7828,17223,8290,7974,0,0,0,169,790,16264,959,48.13331011,46.29855426,0,0,0,0.981246008,4.586889624,94.43186437,5.568135633,17221.65625,536.818225
12,7829,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12031326,"63 Chestnut Hill Ave., Boston, MA",Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,0,0,5240.938965,277.7903216,162,PARK_Maintenance_Region 4,7829,277.7903216,11,7829,0,552,4345,5246,349,4694,10.52230271,82.82500953,89.47769729,6.652687762,11,7829,5246,552,4345,0,0,0,0,349,4897,349,10.52230271,82.82500953,0,0,0,0,6.652687762,93.34731224,6.652687762,5240.939209,277.7903215
13,7830,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96695306,"45 Washington Ave., Brighton, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,303485.8721,2550.505949, ,INFO_Reallocation From Dept,7830,2550.505949,12,7830,1,216523,27662,303497,23975,51637,71.34271508,9.114422877,17.01400673,7.899583851,12,7830,303497,216523,27662,114,0,34243,1094,23861,244299,59198,71.34271508,9.114422877,0.037562151,0,11.28281334,0.360464848,7.8620217,80.49470011,19.50529989,303485.8713,2550.505949
14,7831,Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48179081,"150 Boyden St, Brighton, MA",Institutional District,"Malls, Squares & Plazas",DCR, ,X,X, , ,0,0,20987.1814,608.7100182, ,INFO_Reallocation From Dept,7831,608.7100181,13,7831,629,5163,7263,20355,7245,14508,25.36477524,35.6816507,71.27487104,35.59322034,13,7831,20355,5163,7263,0,0,0,684,7245,12426,7929,25.36477524,35.6816507,0,0,0,3.360353721,35.59322034,61.04642594,38.95357406,20987.18115,608.7100182
15,7832,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77215033,"2060 Commonwealth Ave., Boston, MA",Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,904850.9553,4005.023241,110,PARK_Cemetery Maintenance Request,7832,4005.023241,14,7832,2,394327,414523,904846,92812,507335,43.57945993,45.81144195,56.06865699,10.25721504,14,7832,904846,394327,414523,10421,0,3100,84,82391,819271,85575,43.57945993,45.81144195,1.151687691,0,0.342599735,0.009283348,9.105527349,90.54258957,9.457410432,904850.9558,4005.023241
16,7833,Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47302947,"380 Faneuil St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,64166.30518,1064.40426,143,PARK_Maintenance_Region 4,7833,1064.40426,15,7833,0,24201,27438,64164,12465,39903,37.71741163,42.76229661,62.18907799,19.42678137,15,7833,64164,24201,27438,4801,0,60,0,7664,56440,7724,37.71741163,42.76229661,7.482388879,0,0.09351038,0,11.94439249,87.96209713,12.03790287,64166.30469,1064.40426
17,7834,St John's Seminary,Private, ,6,Allston-Brighton,59.97256943,"127 Lake St, Brighton, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,2612451.57,7708.715051, ,INFO_Reallocation From Dept,7834,7708.715051,16,7834,7,911491,973412,2612444,463077,1436489,34.89035554,37.26058817,54.98640354,17.72581537,16,7834,2612444,911491,973412,0,0,208180,56284,463077,1884903,727541,34.89035554,37.26058817,0,0,7.968783254,2.154457665,17.72581537,72.15094371,27.84905629,2612451.571,7708.715051
18,7835,The Cenacles,Private,A97/CR,6,Allston-Brighton,15.33969764,"55 Commonwealth Ave., Brighton, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private,X,X, , ,0,0,668209.1086,4949.196631, ,INFO_Reallocation From Dept,7835,4949.196631,17,7835,2,492660,157100,668208,17248,174348,73.72853962,23.51064339,26.09187558,2.581232191,17,7835,668208,492660,157100,0,0,907,293,17248,649760,18448,73.72853962,23.51064339,0,0,0.135736178,0.043848622,2.581232191,97.23918301,2.760816991,668209.1079,4949.196631
19,7836,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17116962,"91 Foster St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Galvin Park, ,0,0,355942.4761,2579.293015,267,PARK_Maintenance_Region 4,7836,2579.293015,18,7836,0,99926,202160,355933,53227,255387,28.07438479,56.79720622,71.75142513,14.95421891,18,7836,355933,99926,202160,21704,0,0,620,31523,323790,32143,28.07438479,56.79720622,6.097776829,0,0,0.174190086,8.856442083,90.96936783,9.03063217,355942.4761,2579.293015
20,7837,Euston Path Rock,City of Boston, ,6,Allston-Brighton,0.39015654,"80 Euston St, Brighton, MA",Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, ,DND,0,0,16856.35254,546.238365, ,INFO_Reallocation From Dept,7837,546.2383651,19,7837,0,16585,238,16852,0,238,98.41561832,1.412295277,1.412295277,0,19,7837,16852,16585,238,0,0,0,29,0,16823,29,98.41561832,1.412295277,0,0,0,0.172086399,0,99.8279136,0.172086399,16856.35303,546.238365
21,7838,Turnpike Overlook,MassDOT, ,6,Allston-Brighton,3.15,"312 Turnpike Rd., Brighton, MA",Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,137407.7349,3711.089774, ,INFO_Reallocation From Dept,7838,3711.089774,20,7838,1,100135,8051,137427,1922,9973,72.86413878,5.858382996,7.256943686,1.39856069,20,7838,137427,100135,8051,0,0,3422,23897,1922,108186,29241,72.86413878,5.858382996,0,0,2.490049263,17.38886827,1.39856069,78.72252178,21.27747822,137407.7356,3711.089774
22,7839,Foster Street Hill,Private, ,6,Allston-Brighton,3.40605727,"110 Foster St, Brighton, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,180392.1909,2182.592229, ,INFO_Reallocation From Dept,7839,2182.592229,21,7839,0,178040,1404,180409,965,2369,98.68687261,0.778231685,1.313127394,0.534895709,21,7839,180409,178040,1404,0,0,0,0,965,179444,965,98.68687261,0.778231685,0,0,0,0,0.534895709,99.46510429,0.534895709,180392.1897,2182.592229
23,7840,Foster Street Rock,Private, ,6,Allston-Brighton,4.62718042,"95 Foster St, Brighton, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,201563.553,1942.774105, ,INFO_Reallocation From Dept,7840,1942.774105,22,7840,1,90646,44883,201552,38492,83375,44.97400175,22.26869493,41.36649599,19.09780106,22,7840,201552,90646,44883,0,0,27531,0,38492,135529,66023,44.97400175,22.26869493,0,0,13.65950226,0,19.09780106,67.24269667,32.75730333,201563.5525,1942.774105
24,7841,Boston College Athletic Fields,Private, ,3,Allston-Brighton,9.72386143,"1400 Commonwealth Ave., Brighton, MA",Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N, , ,0,0,423578.9343,3571.941702, ,INFO_Reallocation From Dept,7841,3571.941702,23,7841,0,4066,171798,423544,127697,299495,0.959994711,40.56201953,70.7116616,30.14964207,23,7841,423544,4066,171798,22371,0,119934,49,105326,198235,225309,0.959994711,40.56201953,5.281859736,0,28.31677464,0.011569046,24.86778233,46.80387398,53.19612602,423578.9346,3571.941702
25,7842,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,18.90802906,"44 Lake Shore Rd., Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Gallagher Mem. Park, ,0,0,829074.6814,4020.124586,128,PARK_Maintenance_Region 4,7842,4020.124586,24,7842,0,263651,85187,366475,17202,102389,71.94242445,23.24496896,27.93887714,4.693908179,24,7842,829101,263651,85187,3015,462626,0,435,14187,814479,14622,31.79962393,10.27462275,0.36364689,55.79850947,0,0.052466467,1.71113049,98.23640304,1.763596956,829074.6826,4020.124586
26,7843,Nonquit Green,Community Group/Nonprofit,Land Trust,1,Dorchester,0.35746179,"200 Nonquit St, Brighton, MA",Residential District,"Malls, Squares & Plazas",NULL,Nonquit Street Nbhd Assn,N,X, , ,0,0,17838.0144,548.7130041, ,INFO_Reallocation From Dept,7843,548.7130041,25,7843,0,12456,3136,17839,2208,5344,69.82454173,17.57946073,29.95683615,12.37737541,25,7843,17839,12456,3136,0,0,39,0,2208,15592,2247,69.82454173,17.57946073,0,0,0.21862212,0,12.37737541,87.40400247,12.59599753,17838.01514,548.7130041
27,7844,Mullen Square,City of Boston,A97,1,Dorchester,0.22675059,"24 Edison Green, Boston, MA",Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,9877.432617,409.1872686,210,PARK_Maintenance_Region 2,7844,409.1872686,26,7844,0,9219,654,9873,0,654,93.37587359,6.624126405,6.624126405,0,26,7844,9873,9219,654,0,0,0,0,0,9873,0,93.37587359,6.624126405,0,0,0,0,0,100,0,9877.431396,409.1872686
28,7845,Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30391727,"500 Dorchester Ave., Dorchester, MA",Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,143921.1958,1827.534139,89,PARK_Cemetery Maintenance Request,7845,1827.534139,27,7845,0,65285,71793,143904,4165,75958,45.36705026,49.88950967,52.78380031,2.894290638,27,7845,143904,65285,71793,0,0,2504,157,4165,137078,6826,45.36705026,49.88950967,0,0,1.740048922,0.109100511,2.894290638,95.25655993,4.743440071,143921.1965,1827.534139
29,7846,Calf Pasture,Commonwealth of Massachusetts,WPA/Ch91,3,Dorchester,7.44,"70 Milk St, Boston, MA",Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,COM,N,X,Columbia Point,UMass Boston,0,0,324096.6982,4005.451972, ,INFO_Reallocation From Dept,7846,4005.452045,28,7846,4529,61723,100176,318619,146675,246851,19.37203996,31.44068621,77.47529181,46.03460559,28,7846,319561,61723,100176,89844,942,4397,5648,56831,252685,66876,19.31493518,31.34800555,28.11482002,0.2947794,1.375950132,1.767424686,17.78408504,79.07254014,20.92745986,324096.7664,4005.452045
30,7847,Meetinghouse Hill Overlook,City of Boston, ,6,Dorchester,0.40922366,"180 Meetinghouse Hill Rd., Dorchester, MA",Residential District,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,14713.44971,760.8825695, ,PARK_Maintenance_Ground Maintenance,7847,760.8825695,29,7847,0,12556,1085,14715,981,2066,85.3278967,7.373428474,14.04009514,6.666666667,29,7847,14715,12556,1085,0,0,7,86,981,13641,1074,85.3278967,7.373428474,0,0,0.047570506,0.584437649,6.666666667,92.70132518,7.298674822,14713.44971,760.8825696
31,7848,Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.80889778,"43 Downer Ave., Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,33938.47266,936.1035495,92,PARK_Maintenance_Region 2,7848,936.1038303,30,7848,0,14989,14868,33941,4078,18946,44.16192805,43.80542706,55.82039421,12.01496715,30,7848,33941,14989,14868,0,0,0,6,4078,29857,4084,44.16192805,43.80542706,0,0,0,0.017677735,12.01496715,87.96735512,12.03264488,33938.47583,936.1038303
32,7849,The Humps,City of Boston, ,6,Dorchester,0.92720636,"45 Rolling Hill Dr., Dorchester, MA",Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,40564.79688,985.5739436, ,INFO_Reallocation From Dept,7849,985.5739435,31,7849,0,39393,1034,40567,7,1041,97.10602214,2.548869771,2.566125176,0.017255405,31,7849,40567,39393,1034,0,0,133,0,7,40427,140,97.10602214,2.548869771,0,0,0.327852688,0,0.017255405,99.65489191,0.345108093,40564.79688,985.5739435
33,7850,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.3724094,"21 Stanley St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,16344.86841,529.7907321,251,PARK_Maintenance_Region 5,7850,529.7907322,32,7850,0,10856,4828,16344,660,5488,66.42192854,29.53989232,33.57807146,4.038179148,32,7850,16344,10856,4828,0,0,0,0,660,15684,660,66.42192854,29.53989232,0,0,0,0,4.038179148,95.96182085,4.038179148,16344.86816,529.7907322
34,7851,Deer Street Park,City of Boston,A97,3,Dorchester,0.24478116,"34 Deer St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,10740.09448,487.0571894,80,PARK_Maintenance_Region 2,7851,487.0571896,33,7851,0,6536,1406,10737,2770,4176,60.8736146,13.09490547,38.89354568,25.79864022,33,7851,10737,6536,1406,0,0,25,0,2770,7942,2795,60.8736146,13.09490547,0,0,0.232839713,0,25.79864022,73.96852007,26.03147993,10740.09448,487.0571895
35,7852,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,2.98993894,"120 Savin Hill Ave., Dorchester, MA",Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,149575.5291,3618.982975, ,INFO_Reallocation From Dept,7852,3618.982975,34,7852,32316,14557,1520,110531,93876,95396,13.17006089,1.375179814,86.30700889,84.93182908,34,7852,117265,14557,1520,47649,6734,578,0,46227,70460,46805,12.4137637,1.29620944,40.63360764,5.742548928,0.492900695,0,39.4209696,60.08612971,39.91387029,149575.5293,3618.982975
36,7853,Coppens Square,City of Boston,A97,1,Dorchester,0.35701954,"344 Bowdoin St, Boston, MA",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square,BPRD,0,0,15552.04785,489.7137407,70,PARK_Maintenance_Region 2,7853,489.7137407,35,7853,0,3378,10831,15553,967,11798,21.71928245,69.63929788,75.85674789,6.21745001,35,7853,15553,3378,10831,0,0,0,377,967,14209,1344,21.71928245,69.63929788,0,0,0,2.423969652,6.21745001,91.35858034,8.641419662,15552.04785,489.7137407
37,7854,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/Ch91,2,Dorchester,7.99,"225 Old Harbor St, Boston, MA",Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,350398.2996,6687.046624, ,INFO_Reallocation From Dept,7854,6687.046861,36,7854,16950,146944,86343,327491,91605,177948,44.86963001,26.36499934,54.3367604,27.97176106,36,7854,333416,146944,86343,7932,5925,1652,947,83673,247144,86272,44.07227008,25.89647767,2.379010006,1.777059289,0.495477122,0.284029561,25.09567627,74.12481705,25.87518295,350398.3066,6687.046861
38,7855,McConnell Park,City of Boston,A97,3,Dorchester,6.76,"28 Denny St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,McConnell Plgd,BPRD,0,0,294548.7815,3157.219679,191,PARK_Maintenance_Region 2,7855,3157.219679,37,7855,0,77026,140845,294355,49843,190688,26.16772265,47.84868611,64.78164122,16.93295511,37,7855,294355,77026,140845,39494,0,61,26580,10349,257365,36990,26.16772265,47.84868611,13.41713237,0,0.020723276,9.02991286,3.515822731,87.43354113,12.56645887,294548.7822,3157.219679
39,7856,Boston Common,City of Boston,A97/NHL,3,Back Bay/Beacon Hill,45.74,"139 Tremont St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,1992352.515,6329.298656,27,PARK_Maintenance_Region 1,7856,6329.298656,38,7856,7,715337,827702,1992343,433089,1260791,35.90430965,41.54415179,63.28182447,21.73767268,38,7856,1992343,715337,827702,15943,0,13379,2836,417146,1558982,433361,35.90430965,41.54415179,0.800213618,0,0.671520918,0.142344968,20.93745906,78.24867505,21.75132495,1992352.514,6329.298656
40,7857,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.49,"123 Boylston St, Boston, MA",Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, , ,0,0,64864.22852,1105.081488,47,PARK_Cemetery Maintenance Request,7857,1105.081488,39,7857,0,39358,23705,64869,1806,25511,60.67304876,36.54287872,39.32695124,2.784072515,39,7857,64869,39358,23705,0,0,0,0,1806,63063,1806,60.67304876,36.54287872,0,0,0,0,2.784072515,97.21592748,2.784072515,64864.22852,1105.081488
41,7858,Public Garden,City of Boston,A97,3,Back Bay/Beacon Hill,23.51,"4 Charles Street, Boston, MA 02116",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,1023949.01,4131.461326,246,PARK_Maintenance_Region 1,7858,4131.461326,40,7858,2,516276,275095,897331,104406,379501,57.53462212,30.65702623,42.29219764,11.63517141,40,7858,1023947,516276,275095,0,126616,976,578,104406,917987,105960,50.42018776,26.86613663,0,12.36548376,0.095317433,0.056448234,10.19642618,89.65180815,10.34819185,1023949.009,4131.461326
42,7859,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Back Bay/Beacon Hill,1.86,"110 Tremont, Boston, MA",Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,80878.57544,1160.13387,137,PARK_Cemetery Maintenance Request,7859,1160.13387,41,7859,0,57253,17002,80879,5083,22085,70.78846178,21.02152598,27.30622288,6.284696893,41,7859,80879,57253,17002,0,0,1431,110,5083,74255,6624,70.78846178,21.02152598,0,0,1.76930971,0.136005638,6.284696893,91.80998776,8.190012241,80878.57666,1160.13387
43,7860,Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11526636,"21 Phillips St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,5021.092285,330.5540531,237,PARK_Maintenance_Region 1,7860,330.5540531,42,7860,0,3406,1461,5016,129,1590,67.90271132,29.12679426,31.69856459,2.571770335,42,7860,5016,3406,1461,0,0,20,0,129,4867,149,67.90271132,29.12679426,0,0,0.398724083,0,2.571770335,97.02950558,2.970494418,5021.092041,330.5540531
44,7861,Myrtle Street Playground,City of Boston,A97,3,Back Bay/Beacon Hill,0.14766565,"28 Phillips St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,7001.408691,342.2984231,212,PARK_Maintenance_Region 1,7861,342.2984231,43,7861,0,4516,1468,6995,929,2397,64.56040029,20.98641887,34.26733381,13.28091494,43,7861,6995,4516,1468,0,0,82,0,929,5984,1011,64.56040029,20.98641887,0,0,1.172265904,0,13.28091494,85.54681916,14.45318084,7001.408936,342.2984231
45,7862,Louisburg Square,Private, ,1,Back Bay/Beacon Hill,0.32409576,"10 Louisburg Square, Boston, MA",Residential District,"Malls, Squares & Plazas",NULL, ,N,N, , ,0,0,14117.86401,596.0684785, ,INFO_Reallocation From Dept,7862,596.0684785,44,7862,0,13789,152,14116,0,152,97.68347974,1.076792292,1.076792292,0,44,7862,14116,13789,152,0,0,0,175,0,13941,175,97.68347974,1.076792292,0,0,0,1.239727968,0,98.76027203,1.239727968,14117.86401,596.0684785
46,7863,State House Park,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,1.23870543,"24 Beacon St, Boston, MA",Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,53958.96777,987.8163573, ,INFO_Reallocation From Dept,7863,987.8163573,45,7863,0,9405,11911,53957,29405,41316,17.43054655,22.07498564,76.57208518,54.49709954,45,7863,53957,9405,11911,0,0,1198,2038,29405,21316,32641,17.43054655,22.07498564,0,0,2.220286524,3.77708175,54.49709954,39.50553218,60.49446782,53958.96777,987.8163573
47,7864,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85428821,"560 Boylston St, Boston, MA",Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,80774.22998,1400.216411,69,PARK_Maintenance_Region 1,7864,1400.216411,46,7864,0,23735,5030,80767,51495,56525,29.38700212,6.227791053,69.98526626,63.75747521,46,7864,80767,23735,5030,0,0,507,0,51495,28765,52002,29.38700212,6.227791053,0,0,0.627731623,0,63.75747521,35.61479317,64.38520683,80774.23242,1400.216411
48,7865,Prudential Center Plaza I,Private, ,1,Back Bay/Beacon Hill,1.0626591,"800 Boylston St, Boston, MA",Special District,"Malls, Squares & Plazas",NULL, ,N,X,Boylston Str. Plaza, ,0,0,46290.25391,901.7771394, ,INFO_Reallocation From Dept,7865,901.7771395,47,7865,0,12034,4030,46292,1832,5862,25.99585242,8.70560788,12.66309514,3.957487255,47,7865,46292,12034,4030,0,0,28396,0,1832,16064,30228,25.99585242,8.70560788,0,0,61.34105245,0,3.957487255,34.7014603,65.2985397,46290.25391,901.7771395
