GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
250010102083,Truro,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,470,523.0,4.2257685429,Forest,Google,0.5,-1.0,-1.0,0.429595615008868,0.001912045889101,0.003628223662734,0.233269598470363,0.353506640643815,0.0,0.0,1.709844559585492,0.630975143403442,1.0,0.042196918955124,0.681627439679746,0.524759146082675,-10.58,0.0,100,100.0,,0.304015296367113,0.326959847036329
250010103041,Eastham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1153,1408.0,7.0684066978,Forest,Google,0.5,-1.0,-1.0,0.330718387211186,0.086647727272727,0.11607525728988,0.139484978540772,0.234647627451767,0.035143769968051,0.115629278868097,0.952843273231623,0.487926136363636,0.476421636615811,0.0,0.0,0.417546825429606,0.83,0.434155719320731,97,98.0,,0.170454545454545,0.317471590909091
250010103042,Eastham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,889,639.0,3.9098742649,Forest,Google,0.5,-1.0,-1.0,0.347865890327493,0.032863849765258,0.044025157232704,0.086071987480438,0.144793997630644,0.036065573770492,0.118662177985948,1.597560975609756,0.615023474178404,0.798780487804878,0.0,0.0,0.417546825429606,-0.11,0.404037167574495,100,98.0,,0.150234741784038,0.464788732394366
250010103043,Eastham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,605,892.0,2.2622193209,Forest,Google,0.5,-1.0,-1.0,0.350596003024966,0.159192825112108,0.213258312886031,0.066143497757848,0.111269435480491,0.115138592750533,0.378826530612245,0.831622176591376,0.454035874439462,0.415811088295688,0.0,0.0,0.417546825429606,0.15,0.412367830823454,100,98.0,,0.033632286995516,0.420403587443946
250010103061,Eastham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1115,1192.0,3.5881025628,Forest,Google,0.5,-1.0,-1.0,0.440470028077179,0.052013422818792,0.069678358870457,0.24748322147651,0.416326914633381,0.166259168704156,0.547022354173943,1.408080808080808,0.584731543624161,0.704040404040404,0.019421172886519,0.088828426609239,0.392854192604306,0.68,0.429349567446331,100,98.0,,0.217281879194631,0.36744966442953
250010103062,Eastham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1095,946.0,4.1283995468,Forest,Google,0.5,-1.0,-1.0,0.456359442976175,0.243128964059197,0.325701065060433,0.20507399577167,0.344984291952342,0.106060606060606,0.348958333333333,1.620498614958449,0.618393234672304,0.810249307479224,0.019421172886519,0.088828426609239,0.392854192604306,1.64,0.460108939442486,100,98.0,,0.177589852008457,0.440803382663848
250010103063,Eastham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,814,597.0,4.0948293081,Forest,Google,0.5,-1.0,-1.0,0.315002645289435,0.0,0.0,0.11892797319933,0.200065749307284,0.059701492537313,0.196428571428571,0.720461095100865,0.418760469011725,0.360230547550432,0.019421172886519,0.088828426609239,0.392854192604306,0.82,0.433835309195771,100,98.0,,0.036850921273032,0.381909547738693
250010104001,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,825,560.0,4.0781806003,Forest,Google,0.5,-1.0,-1.0,0.288576565230887,0.0375,0.050235849056604,0.180357142857143,0.303404539385848,0.0,0.0,0.513513513513513,0.339285714285714,0.256756756756757,0.0,0.0,0.434329338690992,0.45,0.421980134572252,100,100.0,,0.058928571428571,0.280357142857143
250010104002,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,872,912.0,1.6902328431,Forest,Google,0.5,-1.0,-1.0,0.469080439983355,0.080043859649123,0.107228566699768,0.401315789473684,0.675110673880964,0.0,0.0,2.316363636363636,0.698464912280702,1.0,0.0,0.0,0.434329338690992,7.69,0.653957065043255,100,100.0,,0.050438596491228,0.648026315789474
250010104003,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,612,925.0,2.0481904501,Forest,Google,0.5,-1.0,-1.0,0.453210712176017,0.058378378378378,0.07820499745028,0.452808988764045,0.761734747453534,0.0,0.0,2.425925925925926,0.708108108108108,1.0,0.0,0.0,0.434329338690992,2.04,0.472925344440884,100,100.0,,0.16972972972973,0.538378378378378
